0383
ANG_COM002
yyyy/MM/dd hh:mm:ss,Final Depth (mm),Final Flow (l/s),Final Velocity (m/s)
2021/12/03 19:15:00,95.99,97.98,2.69
2021/12/03 19:20:00,95.14,97.75,2.72
2021/12/03 19:25:00,95.02,95.2,2.66
2021/12/03 19:30:00,94.91,95.85,2.68
2021/12/03 19:35:00,94.21,94.1,2.66
2021/12/03 19:40:00,94.08,93.5,2.65
2021/12/03 19:45:00,93.96,92.9,2.63
2021/12/03 19:50:00,94.55,93.18,2.62
2021/12/03 19:55:00,95.14,93.46,2.6
2021/12/03 20:00:00,95.34,93.97,2.61
2021/12/03 20:05:00,94.76,94.82,2.66
2021/12/03 20:10:00,95.53,96.78,2.68
2021/12/03 20:15:00,94.79,94.88,2.66
2021/12/03 20:20:00,94.55,93.3,2.62
2021/12/03 20:25:00,95.54,95.65,2.65
2021/12/03 20:30:00,95.04,94.55,2.64
2021/12/03 20:35:00,94.78,94.68,2.65
2021/12/03 20:40:00,94.86,93.65,2.62
2021/12/03 20:45:00,94.78,94.42,2.64
2021/12/03 20:50:00,95.63,96.34,2.66
2021/12/03 20:55:00,95.29,97.13,2.7
2021/12/03 21:00:00,93.78,93.97,2.67
2021/12/03 21:05:00,93.31,93.32,2.67
2021/12/03 21:10:00,93.94,93.41,2.65
2021/12/03 21:15:00,94.57,96.17,2.7
2021/12/03 21:20:00,94.37,94.81,2.67
2021/12/03 21:25:00,94.41,94.41,2.66
2021/12/03 21:30:00,93.35,92.33,2.64
2021/12/03 21:35:00,93.06,91.56,2.63
2021/12/03 21:40:00,95.6,96.47,2.67
2021/12/03 21:45:00,95.41,97.19,2.69
2021/12/03 21:50:00,93.99,93.83,2.66
2021/12/03 21:55:00,93.75,92.33,2.63
2021/12/03 22:00:00,94.31,93.77,2.64
2021/12/03 22:05:00,94.05,94.76,2.68
2021/12/03 22:10:00,93.8,83.3,2.37
2021/12/03 22:15:00,93.66,81.23,2.31
2021/12/03 22:20:00,93.53,79.16,2.26
2021/12/03 22:25:00,93.33,81.59,2.34
2021/12/03 22:30:00,92.94,83.32,2.4
2021/12/03 22:35:00,93.86,85.49,2.43
2021/12/03 22:40:00,93.69,85.63,2.44
2021/12/03 22:45:00,93.84,87.34,2.48
2021/12/03 22:50:00,93.27,86.94,2.49
2021/12/03 22:55:00,93.27,86.82,2.49
