Monitor,OBJECTID,Area (Ha),Notes,LandUse,SewerSep%,ParcelsSep%,Sewer Capacity Grade,Capacity Grade Data Validity,Sewershed,GlobalID,Catchment Type,Basin Integrity,SHAPE__Length,SHAPE__Area,Status
ANG_COM001,72,90.99404181,Dry weather flow,,,,O,1,Fraser Area-Angus,{8680D671-F067-43F0-9EEC-008936CA46BD},Dry Weather Flow,,5917.422927,909940.4181,Inactive
ANG_COM002,85,186.5240427,Dry weather flow,,,,O,1,Fraser Area-Angus,{6FD04B77-CE66-4486-80F9-D5A1F56BAE67},Dry Weather Flow,,8427.8866,1865240.427,Inactive
ANG_COM003,73,45.89706073,Dry weather flow,,,,O,1,Fraser Area-Angus,{AC85E543-45C2-4A6B-A130-16F99CB52785},Dry Weather Flow,,6258.000666,458970.6073,Inactive
ANG_COM004,84,8.40075381,Dry weather flow,,,,O,1,Fraser Area-Angus,{C662CBA5-0AE7-4FFD-A1B5-94D826DDDE35},Dry Weather Flow,,2563.089338,84007.53813,Inactive
ANG_COM006,123,31.39509407,Dry weather flow,,,,-,0,Fraser Area-Angus,{F3990094-D48B-4C26-8656-69C258F5A71B},Dry Weather Flow,,4561.736396,313950.9407,Inactive
ANG_COM007,203,83.16952575,Dry weather flow,,,,,,Fraser Area-Angus,{F9516263-7EEE-4564-AAD8-88AC6B405606},Dry Weather Flow,,5265.797177,831695.2575,Inactive
ANG_COM008,185,31.46193,Dry weather flow,,,,-,0,Fraser Area-Angus,{9633FE2F-929E-4C97-99DA-9D7C49A34013},Dry Weather Flow,,4588.834198,314619.3,Inactive
ANG_STM005,95,23.41414256,,,,,,,Fraser Area-Angus,{EDCD7FE0-84AD-4E52-BC11-961254EEDAC7},,,3533.975753,234141.4256,Inactive
BLC_1543093_US1,195,30.72948485,,,,,,,Balaclava,{960CD964-41EB-438F-80BF-B5B5481232F8},,,3830.033441,307294.8485,Inactive
BLC_413832_DS1,196,9.84225783,,,,,,,Balaclava,{8BA655DE-112A-4CA9-B5D4-F032A9230B22},,,5399.581823,98422.57826,Inactive
BLC_416328_US1,197,35.12352027,,,,,,,Balaclava,{ACFD393B-9239-46CA-881C-224B8F99C1AB},,,4209.307267,351235.2027,Inactive
BLC_COM002,74,30.72948485,,,,,A,1,Balaclava,{5893C4BF-A078-4916-88B2-49F43602D96A},,,3830.033441,307294.8485,Inactive
BLC_COM003,75,26.45291729,,,,,L,1,Balaclava,{F69CD12D-6C41-4005-AB97-EA7390F5C7C0},,,2571.482159,262347.1094,Inactive
BLC_COM004,111,35.12352027,,,,,O,1,Balaclava,{5F6A22AA-C71B-4EEC-B792-9488FBB1A505},,,4209.307267,351235.2027,Inactive
BLC_COM005,117,131.9097368,,,,,O,1,Balaclava,{1C4AB406-5F96-47C2-9415-86A2C5B03874},,,7730.497473,1319097.368,Inactive
BLC_COM006,118,95.37881466,,,,,O,1,Balaclava,{BA3168F9-1C8C-49BB-85FD-D5E378A7A02E},,,5385.714879,953788.1466,Inactive
BLC_COM007,124,31.249581,,,,,L,1,Balaclava,{C4CEDEBB-CAA9-474B-A195-CA46A43AA803},,,3999.134374,312495.81,Inactive
BLC_COM009,125,27.87455477,,,,,O,1,Balaclava,{32502C31-4920-4B7E-8D2B-7B2AC6254BB3},,,4641.26945,278745.5477,Inactive
BLC_COM010,126,57.53588831,,,,,O,1,Balaclava,{6A2668A6-4876-46D7-BDBC-F22362EC5257},,,5759.913991,575358.8831,Inactive
BLC_COM014,173,27.87455477,Repeat monitoring of BLC_COM009,,,,O,1,Balaclava,{4D91C866-33CC-4844-97CF-C59F9566505D},,,4641.26945,278745.5477,Inactive
BLC_SAN011,103,10.02988553,,,,,-,0,Balaclava,{1632EB44-27F2-4BEA-BFC9-A9EED0A15C56},,,5462.369867,100298.8553,Inactive
BLC_SAN012,102,12.06002547,,,,,O,1,Balaclava,{3C58C61E-2C7C-4E31-A17B-4F071E97A5FE},,,5011.881109,120600.2547,Inactive
BLC_STM001,76,34.29524419,,,,,L,1,Balaclava,{5ED9601D-567A-4DE8-A5B6-2C8456A72935},,,3602.436133,342952.4419,Inactive
BLC_STM008,122,60.25483241,,,,,,,Balaclava,{BCA20BD7-F711-4DE4-934C-702F0AD9E146},,,7395.619858,602548.3241,Inactive
BLC_STM013,127,10.52527483,,,,,O,1,Balaclava,{FC74E7AB-77B9-4541-B20B-8145F3330D2D},,,2757.993971,105252.7483,Inactive
CCR_COM002,186,107.4486711,Updated: 2024-07-23,Residential,26,44,A,1,China Creek,{FC60E807-41B5-4A89-9E9A-D5E60EF44C4F},,,6492.207708,1074486.711,Inactive
CCR_COM003,54,15.32867087,,,,,O,1,China Creek,{CBC10C24-C5ED-45BB-A568-883B21C7CC1A},,,1943.508173,153286.7087,Inactive
CCR_COM006,86,140.4017549,,,,,A,1,China Creek,{DC722425-8ADA-4BDF-9145-D9AF99103DDE},,,8258.39816,1404017.549,Inactive
CCR_COM007,79,15.24269049,,,,,A,1,China Creek,{2E399F84-B758-4A24-9F61-537120A185FF},,,2889.221274,152426.9049,Inactive
CCR_COM008,113,47.15269756,MH: 400174 unsure of split of flow at this location,,,,L,1,China Creek,{6052427B-A704-4475-8608-12D9A7049C06},,,4332.734217,471526.9756,Inactive
CCR_COM012,135,22.78380258,,,,,O,1,China Creek,{120C88C2-725C-4065-9D39-F6BEBAA99E49},,,3461.057809,227838.0258,Inactive
CCR_COM018,165,29.25758772,,,,,,,China Creek,{ABBD5C39-BD6C-4DE1-84B4-A3E75C4E8F94},,,5068.324412,292575.8772,Inactive
CCR_SAN001,187,24.16803988,Unclear connection at Clark Dr @ E 20th Ave. Updated: 2024-07-15,Residential,51,34,O,1,China Creek,{A0D335B3-9FDA-4654-9ADB-A363D7EC0D6A},,,10738.00137,241680.3988,Inactive
CCR_SAN009,128,57.61364961,,,,,S,1,China Creek,{FA170008-E01C-46EE-B17D-C68F14A898C2},,,7959.821724,576136.4961,Inactive
CCR_SAN010,129,25.76695455,,,,,L,1,China Creek,{47DBDE65-48F0-43E4-9A49-866D7BA01F2B},,,19343.59033,257669.5455,Inactive
CCR_SAN014,134,27.71655735,,,,,O,1,China Creek,{C9444E95-95F9-4FF5-88FF-2763D5D1F291},,,3308.189824,277165.5735,Inactive
CCR_STM004,188,3.17806953,Updated: 2024-07-23,,,,O,1,China Creek,{8B9436D1-7CBD-4FBA-85DB-1480808133D9},,,1554.411724,31780.69532,Inactive
CCR_STM011,130,78.77736043,School at Main @ E 33rd Ave unsure of contribution ,,,,L,1,China Creek,{9582A407-C4BE-4C95-8330-484B534CDF99},,,6392.570123,787773.6043,Inactive
CCR_STM013,133,24.73462985,,,,,O,1,China Creek,{E06AE7AA-0210-461F-A9D7-2865B41D8589},,,7066.022798,247346.2985,Inactive
