group,time_of_day,DWF,MNF,ADWF,GWI,SF
Friday,00:00,3.406921333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,1.6305341066965313
Friday,00:05,3.2453373333333335,2.055521833333333,3.7953529421296293,1.7763872266368017,1.4689501066965318
Friday,00:10,3.316621666666667,2.055521833333333,3.7953529421296293,1.7763872266368017,1.540234440029865
Friday,00:15,3.2733486666666667,2.055521833333333,3.7953529421296293,1.7763872266368017,1.496961440029865
Friday,00:20,3.2983089999999997,2.055521833333333,3.7953529421296293,1.7763872266368017,1.521921773363198
Friday,00:25,3.149827666666667,2.055521833333333,3.7953529421296293,1.7763872266368017,1.3734404400298652
Friday,00:30,3.268689333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,1.4923021066965314
Friday,00:35,2.9830928333333335,2.055521833333333,3.7953529421296293,1.7763872266368017,1.2067056066965318
Friday,00:40,2.94469,2.055521833333333,3.7953529421296293,1.7763872266368017,1.1683027733631983
Friday,00:45,2.8646833333333332,2.055521833333333,3.7953529421296293,1.7763872266368017,1.0882961066965315
Friday,00:50,2.5387945,2.055521833333333,3.7953529421296293,1.7763872266368017,0.7624072733631981
Friday,00:55,2.6239291666666666,2.055521833333333,3.7953529421296293,1.7763872266368017,0.8475419400298649
Friday,01:00,2.5105253333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.7341381066965316
Friday,01:05,2.5489346666666663,2.055521833333333,3.7953529421296293,1.7763872266368017,0.7725474400298646
Friday,01:10,2.5171055,2.055521833333333,3.7953529421296293,1.7763872266368017,0.7407182733631983
Friday,01:15,2.5854375,2.055521833333333,3.7953529421296293,1.7763872266368017,0.8090502733631981
Friday,01:20,2.4629481666666666,2.055521833333333,3.7953529421296293,1.7763872266368017,0.6865609400298649
Friday,01:25,2.3749051666666667,2.055521833333333,3.7953529421296293,1.7763872266368017,0.598517940029865
Friday,01:30,2.5438631666666667,2.055521833333333,3.7953529421296293,1.7763872266368017,0.767475940029865
Friday,01:35,2.3942676666666665,2.055521833333333,3.7953529421296293,1.7763872266368017,0.6178804400298648
Friday,01:40,2.3487705,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5723832733631984
Friday,01:45,2.3257015,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5493142733631984
Friday,01:50,2.3131035,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5367162733631983
Friday,01:55,2.3090091666666663,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5326219400298646
Friday,02:00,2.441432333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.6650451066965315
Friday,02:05,2.4951953333333337,2.055521833333333,3.7953529421296293,1.7763872266368017,0.718808106696532
Friday,02:10,2.4165571666666668,2.055521833333333,3.7953529421296293,1.7763872266368017,0.640169940029865
Friday,02:15,2.358928666666667,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5825414400298652
Friday,02:20,2.1586241666666663,2.055521833333333,3.7953529421296293,1.7763872266368017,0.38223694002986464
Friday,02:25,2.2163668333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.4399796066965316
Friday,02:30,2.0779468333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.3015596066965316
Friday,02:35,2.2003128333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.42392560669653157
Friday,02:40,2.250983833333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.4745966066965315
Friday,02:45,2.083981,2.055521833333333,3.7953529421296293,1.7763872266368017,0.3075937733631984
Friday,02:50,2.1389608333333334,2.055521833333333,3.7953529421296293,1.7763872266368017,0.3625736066965317
Friday,02:55,2.094599833333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.3182126066965314
Friday,03:00,2.355408,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5790207733631985
Friday,03:05,2.055521833333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.27913460669653145
Friday,03:10,2.3045828333333334,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5281956066965316
Friday,03:15,2.1570336666666665,2.055521833333333,3.7953529421296293,1.7763872266368017,0.3806464400298648
Friday,03:20,2.2247653333333335,2.055521833333333,3.7953529421296293,1.7763872266368017,0.4483781066965318
Friday,03:25,2.3585506666666665,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5821634400298648
Friday,03:30,2.1880046666666666,2.055521833333333,3.7953529421296293,1.7763872266368017,0.4116174400298649
Friday,03:35,2.4918549999999997,2.055521833333333,3.7953529421296293,1.7763872266368017,0.715467773363198
Friday,03:40,2.4589288333333332,2.055521833333333,3.7953529421296293,1.7763872266368017,0.6825416066965315
Friday,03:45,2.0749708333333334,2.055521833333333,3.7953529421296293,1.7763872266368017,0.2985836066965317
Friday,03:50,2.354690666666667,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5783034400298652
Friday,03:55,2.3621434999999997,2.055521833333333,3.7953529421296293,1.7763872266368017,0.585756273363198
Friday,04:00,2.3146808333333335,2.055521833333333,3.7953529421296293,1.7763872266368017,0.5382936066965318
Friday,04:05,2.4140386666666664,2.055521833333333,3.7953529421296293,1.7763872266368017,0.6376514400298647
Friday,04:10,2.4099375000000003,2.055521833333333,3.7953529421296293,1.7763872266368017,0.6335502733631986
Friday,04:15,2.4369735,2.055521833333333,3.7953529421296293,1.7763872266368017,0.6605862733631984
Friday,04:20,2.651022333333333,2.055521833333333,3.7953529421296293,1.7763872266368017,0.8746351066965314
Friday,04:25,2.6073285,2.055521833333333,3.7953529421296293,1.7763872266368017,0.8309412733631982
